id (string),tokens (sequence),ner_tags (sequence),ner_coarse_tags (sequence)
"""90""","[ ""Dabei"", ""entspricht"", ""der"", ""notwendige"", ""Lebensunterhalt"", ""in"", ""stationären"", ""Einrichtungen"", ""dem"", ""Umfang"", ""der"", ""Bedarfe"", ""nach"", ""den"", ""Regelbedarfsstufen"", ""zu"", ""§"", ""28"", ""SGB"", ""XII"", "","", ""zusätzlicher"", ""Bedarfe"", ""nach"", ""dem"", ""zweiten"", ""Abschnitt"", ""des"", ""dritten"", ""Kapitels"", ""des"", ""SGB"", ""XII"", ""und"", ""der"", ""Bedarfe"", ""für"", ""Unterkunft"", ""und"", ""Heizung"", ""("", ""vgl"", ""§"", ""27b"", ""Abs"", ""1"", ""Satz"", ""2"", ""SGB"", ""XII"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14 ]"
"""91""","[ ""Der"", ""angemeldeten"", ""Bezeichnung"", ""kommt"", ""in"", ""diesem"", ""Kontext"", ""nicht"", ""lediglich"", ""eine"", ""werktitelartige"", ""Funktion"", ""zu"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""92""","[ ""Rechtsgrundlage"", ""der"", ""Beitragsbemessung"", ""sind"", ""die"", ""vom"", ""GKV-Spitzenverband"", ""auf"", ""Grundlage"", ""des"", ""§"", ""240"", ""Abs"", ""1"", ""S"", ""1"", ""SGB"", ""V"", ""erlassenen"", ""BeitrVerfGrsSz"", ""("", ""vom"", ""27."", ""10."", ""2008"", "","", ""eBAnz"", ""VB"", ""4."", ""11."", ""2008"", "";"", ""hier"", ""idF"", ""der"", ""Fünften"", ""Änderung"", ""vom"", ""23."", ""11."", ""2013"", "","", ""eBAnz"", ""VB"", ""2."", ""12."", ""2013"", "")"", "","", ""denn"", ""es"", ""ist"", ""nicht"", ""ersichtlich"", "","", ""dass"", ""sich"", ""der"", ""Versichertenstatus"", ""des"", ""Klägers"", ""als"", ""freiwilliges"", ""Mitglied"", ""der"", ""zu"", ""1."", ""beklagten"", ""Krankenkasse"", ""nach"", ""Aufgabe"", ""seiner"", ""selbstständigen"", ""Tätigkeit"", ""im"", ""Jahr"", ""2012"", ""geändert"", ""hat"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 17, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 5, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""93""","[ ""Sie"", ""hätte"", ""dann"", ""aber"", ""vortragen"", ""müssen"", "","", ""dass"", ""der"", ""BGH"", ""die"", ""aufgeworfene"", ""Fragestellung"", ""entweder"", ""noch"", ""nicht"", ""entschieden"", ""habe"", ""oder"", ""dass"", ""neuer"", ""Klärungsbedarf"", ""auf"", ""der"", ""Basis"", ""bereits"", ""vorhandener"", ""Rechtsprechung"", ""des"", ""BGH"", ""entstanden"", ""sei"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 2, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 2, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 14, 14, 14 ]"
"""94""","[ ""Vielmehr"", ""würden"", ""mit"", ""„"", ""Kontor"", ""“"", ""bezeichnete"", ""Räumlichkeiten"", ""für"", ""kontortypische"", ""Handelsgeschäfte"", ""genutzt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""95""","[ ""2."", ""Nach"", ""diesen"", ""Grundsätzen"", ""kann"", ""dem"", ""Wortzeichen"", ""NeuroMatrix"", ""die"", ""notwendige"", ""Unterscheidungskraft"", ""im"", ""Sinne"", ""des"", ""§"", ""8"", ""Abs."", ""2"", ""Nr."", ""1"", ""MarkenG"", ""nicht"", ""abgesprochen"", ""werden"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14 ]"
"""96""","[ ""Quentin"" ]",[ 11 ],[ 4 ]
"""97""","[ ""Die"", ""nukleare"", ""Teilhabe"", ""im"", ""Sinne"", ""der"", ""\"""", ""Konzeptionellen"", ""Leitlinien"", ""zur"", ""Weiterentwicklung"", ""der"", ""Bundeswehr"", ""\"""", ""vom"", ""12."", ""Juli"", ""1994"", ""würde"", ""aber"", ""konkret"", ""durch"", ""die"", ""Piloten"", ""des"", ""Jagdbombergeschwaders"", ""33"", ""ausgeübt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 4, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""98""","[ ""Denn"", ""diese"", ""Fälle"", ""sind"", ""dadurch"", ""gekennzeichnet"", "","", ""dass"", ""dem"", ""Nutzungsberechtigten"", ""der"", ""Wert"", ""der"", ""Einbauten"", ""bzw."", ""Gebäude"", ""zu"", ""jedem"", ""gedachten"", ""Zeitpunkt"", ""des"", ""Nutzungsverhältnisses"", ""aufgrund"", ""eines"", ""zivilrechtlichen"", ""Anspruchs"", ""zusteht"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""99""","[ ""Auch"", ""aus"", ""dem"", ""von"", ""der"", ""Klägerin"", ""in"", ""der"", ""mündlichen"", ""Verhandlung"", ""übergebenen"", ""Antwortschreiben"", ""der"", ""Europäischen"", ""Kommission"", ""vom"", ""11."", ""Dezember"", ""2007"", ""an"", ""den"", ""Bundesminister"", ""des"", ""Auswärtigen"", ""vermag"", ""der"", ""Senat"", ""keine"", ""europarechtlichen"", ""Vorgaben"", ""zu"", ""entnehmen"", "","", ""die"", ""für"", ""eine"", ""Zeitpunktbetrachtung"", ""des"", ""in"", ""§"", ""2"", ""Abs."", ""7"", ""Satz"", ""1"", ""InvZulG"", ""2005"", ""verwendeten"", ""KMU-Erfordernisses"", ""sprechen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 4, 23, 38, 38, 38, 38, 38, 38, 4, 23, 23, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 10, 14, 14, 14, 14, 14, 14, 3, 10, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14 ]"
